trial,phase,candidate_id,edge_type,driver,strength,active,effective_weight,effective_exchange_weight,drivers,requires,affinity,competition_groups,requires_glial_network,mediating_glia,generated_from
6,repeated_additive_loop,AUTO_TRI_N2_G1_N3,tripartite,0.10997815810586875,0.0,False,0.0,0.0,N2;G1,,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_TRI_N2_G1_N6,tripartite,0.3142233088739107,0.0,False,0.0,0.0,N2;G1,,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_TRI_N3_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N3;G1,,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_TRI_N4_G1_N2,tripartite,0.07889569763372745,0.0,False,0.0,0.0,N4;G1,,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_TRI_N4_G1_N3,tripartite,0.13806747085902302,0.0,False,0.0,0.0,N4;G1,,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_TRI_N4_G1_N6,tripartite,0.39447848816863723,0.09357221187567177,False,0.0,0.0,N4;G1,,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_TRI_N5_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N5;G1,,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
7,repeated_additive_loop,AUTO_GG_G0_G1,glia_glia,0.6465848103404148,0.8423812320741266,True,0.6739049856593013,1.010857478488952,G0;G1,,0.96,GG:G0;GG:G1,False,,local_domains:G0
7,repeated_additive_loop,AUTO_GG_G0_G2,glia_glia,0.0881858923888156,0.0,False,0.0,0.0,G0;G2,,0.42,GG:G0;GG:G2,False,,local_domains:G0
7,repeated_additive_loop,AUTO_GG_G1_G2,glia_glia,0.13857783089671025,0.0,False,0.0,0.0,G1;G2,,0.66,GG:G1;GG:G2,False,,local_domains:G1
7,repeated_additive_loop,AUTO_GN_G0_N0,glia_to_neuron,0.32759806717048734,0.0,False,0.0,0.0,G0,,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0
7,repeated_additive_loop,AUTO_GN_G0_N1,glia_to_neuron,0.23399861940749098,0.0,False,0.0,0.0,G0,,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0
7,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.5147969626964802,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
7,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.12123465193882778,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
7,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.13470516882091976,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
7,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.6735258441045988,0.3961495224710331,True,1.5845980898841323,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
7,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.18858723634928767,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
7,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.041993282089912196,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
7,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.1301791744787278,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
