agent,trial,stage,candidate_id,edge_type,strength,active,driver,seed
full_biological,30,Ext2,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.9142020280017559,20260817
full_biological,31,Ext2,AUTO_GG_G0_G1,glia_glia,0.9987840451862725,True,0.0013145787478783207,20260817
full_biological,31,Ext2,AUTO_GG_G1_G3,glia_glia,0.9989360395379885,True,0.0013145787478783207,20260817
full_biological,31,Ext2,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,31,Ext2,AUTO_TRI_N0_G1_N4,tripartite,0.9990880338897045,True,0.0013145787478783207,20260817
full_biological,31,Ext2,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.979694668099421,20260817
full_biological,31,Ext2,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.979694668099421,20260817
full_biological,32,Ext2,AUTO_GG_G0_G1,glia_glia,0.9984681782261368,True,0.0010516629983026566,20260817
full_biological,32,Ext2,AUTO_GG_G1_G3,glia_glia,0.9986596559478697,True,0.0010516629983026566,20260817
full_biological,32,Ext2,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,32,Ext2,AUTO_TRI_N0_G1_N4,tripartite,0.9988511336696027,True,0.0010516629983026566,20260817
full_biological,32,Ext2,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,1.0,20260817
full_biological,32,Ext2,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,1.0,20260817
full_biological,33,Ext2,AUTO_GG_G0_G1,glia_glia,0.9981354846580281,True,0.0008413303986421253,20260817
full_biological,33,Ext2,AUTO_GG_G1_G3,glia_glia,0.9983685490757745,True,0.0008413303986421253,20260817
full_biological,33,Ext2,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,33,Ext2,AUTO_TRI_N0_G1_N4,tripartite,0.9986016134935212,True,0.0008413303986421253,20260817
full_biological,33,Ext2,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,1.0,20260817
